DIRECTORIO;P6040;P404;P3503;P3271;P400;FEX_C
7982109;15;2;2;2;3;12.716.042.047
7982109;10;2;2;1;3;12.716.042.047
7982112;13;2;2;1;3;21.114.721.258
7982113;17;2;2;2;3;16.565.790.456
7982114;17;2;2;1;3;10.654.671.671
7982118;14;2;2;2;3;81.026.924.308
7982121;8;2;2;1;3;14.914.548.505
7982126;6;2;2;1;3;1.497.134.007
7982128;11;2;2;1;3;11.316.228.892
7982128;8;2;2;1;3;11.316.228.892
7982129;17;2;2;1;6;63.937.728.038
7982129;14;2;2;1;3;63.937.728.038
7982130;16;2;2;1;3;39.027.495.318
7982131;7;2;2;1;3;63.604.081.215
7982133;17;2;2;1;3;32.615.835.373
7982134;9;2;2;1;3;10.974.453.953
7982134;5;2;2;1;3;10.974.453.953
7982135;15;2;2;2;3;85.875.713.329
7982135;12;2;2;1;3;85.875.713.329
7982138;15;2;2;1;3;97.079.972.999
7982138;10;2;2;1;3;97.079.972.999
7982138;7;2;2;1;3;97.079.972.999
7982139;16;2;2;1;3;51.785.107.965
7982140;8;2;2;2;3;54.981.534.648
7982141;10;2;2;2;3;85.094.560.298
7982144;13;2;2;1;3;10.239.881.606
7982152;15;2;2;2;3;80.713.918.503
7982152;9;2;2;1;3;80.713.918.503
7982152;10;2;2;2;3;80.713.918.503
7982160;11;2;2;1;3;8.430.958.837
7982162;12;2;2;1;3;52.517.727.724
7982163;12;2;2;1;3;78.452.382.453
7982177;17;1;2;2;2;10.232.591.503
7982177;10;2;2;1;3;10.232.591.503
7982177;8;2;2;2;3;10.232.591.503
7982179;8;2;2;1;3;98.435.903.524
7982180;14;2;2;1;3;93.598.917.805
7982180;8;2;2;2;6;93.598.917.805
7982185;10;2;2;1;3;12.836.321.664
7982186;9;2;2;1;3;10.891.510.436
7982189;6;2;2;1;3;11.803.342.372
7982193;7;2;2;2;3;93.598.917.805
7982198;8;2;2;2;3;92.680.340.872
7982199;17;2;2;1;6;84.625.520.937
7982200;16;2;2;2;3;13.682.642.659
7982204;11;2;2;2;3;16.491.685.489
7982204;9;2;2;2;3;16.491.685.489
7982204;7;2;2;1;3;16.491.685.489
7982212;8;2;2;1;3;1.367.840.055
7982215;8;2;2;2;3;26.317.427.123
7982215;11;2;2;1;3;26.317.427.123
7982215;7;2;2;2;3;26.317.427.123
7982220;7;2;2;1;3;10.366.786.995
7982224;16;2;2;1;3;10.005.706.889
7982241;16;2;2;1;3;79.274.599.865
7982248;9;2;2;2;3;116.426.416
7982251;9;2;2;1;3;15.219.716.863
7982252;7;2;2;2;3;17.639.553.911
7982253;14;2;2;2;3;14.914.469.842
7982253;8;2;2;1;3;14.914.469.842
7982253;14;2;2;2;3;14.914.469.842
7982255;9;2;2;1;3;12.737.021.606
7982259;17;2;2;2;3;1.318.336.391
7982259;13;2;2;2;3;1.318.336.391
7982263;12;2;2;2;3;9.141.817.039
7982263;11;2;2;2;3;9.141.817.039
7982264;9;2;2;1;3;17.159.507.728
7982267;16;2;2;1;3;14.270.929.446
7982268;17;2;2;1;6;14.585.613.466
7982268;14;2;2;1;3;14.585.613.466
7982268;12;2;2;1;3;14.585.613.466
7982269;5;2;2;1;3;2.293.693.443
7982270;11;2;2;1;3;169.903.218
7982274;9;2;2;2;3;9.365.516.439
7982281;14;2;2;2;3;13.299.109.003
7982281;5;2;2;1;3;13.299.109.003
7982282;9;2;2;2;3;21.897.819.734
7982285;7;2;2;1;3;13.420.955.428
7982288;17;2;2;2;3;13.115.675.922
7982288;12;2;2;2;3;13.115.675.922
7982293;6;2;2;2;3;21.741.776.097
7982294;16;2;2;2;3;15.846.348.291
7982297;17;2;2;1;3;22.192.603.969
7982297;10;2;2;1;3;22.192.603.969
7982298;15;2;2;1;3;10.309.201.836
7982298;5;2;2;2;3;10.309.201.836
7982301;15;2;2;1;3;13.078.256.661
7982304;10;2;2;1;3;11.139.283.803
7982315;12;2;2;2;3;22.829.575.294
7982315;9;2;2;2;3;22.829.575.294
7982315;7;2;2;1;3;22.829.575.294
7982321;17;2;2;1;6;12.782.939.886
7982321;13;2;2;1;3;12.782.939.886
7982322;17;2;2;2;3;97.293.002.609
7982327;9;2;2;1;3;1.274.274.135
7982328;16;2;2;1;3;17.159.507.728
7982328;13;2;2;1;3;17.159.507.728
7982332;8;2;2;1;3;1.274.274.135
7982338;17;2;2;2;3;25.529.786.847
7982338;8;2;2;2;3;25.529.786.847
7982338;7;2;2;1;3;25.529.786.847
7982339;13;2;2;2;3;13.870.749.613
7982339;12;2;2;2;3;13.870.749.613
7982340;12;2;2;2;3;25.331.636.197
7982342;17;2;2;2;4;1.898.353.621
7982352;8;2;2;1;3;12.315.221.299
7982357;8;2;2;1;6;22.952.317.027
