DIRECTORIO;P6040;P404;P3503;P3271;P400;FEX_C
8082904;14;2.0;2;2;3;83735030772
8048228;13;2.0;2;2;6;16287895844
8020509;13;2.0;2;1;3;52375459586
8086114;8;2.0;2;2;3;1925475151
8000321;6;2.0;2;2;3;30339855634
8035236;7;2.0;2;2;3;90080013925
8023574;16;2.0;2;2;3;45156380054
8016851;16;2.0;2;1;3;37377966225
7984905;7;2.0;2;1;3;8332897934
8082058;13;2.0;2;1;3;20059155444
8079781;15;2.0;2;1;4;70341845189
7999853;5;2.0;2;2;3;42877786958
8048895;7;2.0;2;1;3;26642892334
8033286;10;2.0;2;2;3;85994954677
8000780;11;2.0;2;2;3;69007367284
8000322;11;2.0;2;2;3;38958629768
8039389;12;2.0;2;1;3;1049392182
8054056;10;2.0;2;1;3;24008143261
8021949;6;2.0;2;1;3;37785392746
8011456;13;2.0;2;2;3;976159947
8080018;12;2.0;2;2;3;18484851664
8079646;13;2.0;2;2;3;36074390651
8034461;7;2.0;2;1;3;2567553434
8002741;11;2.0;2;2;3;48916092484
8050499;11;2.0;2;2;3;93494325025
8035433;10;2.0;2;2;3;63506759435
8050147;15;;2;1;1;71133442108
7996767;13;2.0;2;2;3;32529741139
8053018;9;2.0;2;2;3;55705407831
8034945;11;2.0;2;1;6;7738099898
8048292;14;2.0;2;1;3;15350460794
7998602;6;2.0;2;2;3;54213331085
8013087;13;2.0;2;2;3;71677232717
8043281;7;2.0;2;1;3;69555263181
8077315;17;2.0;2;2;3;3787749959
8084774;11;2.0;2;1;3;81715590553
8002436;8;2.0;2;1;3;6566608822
8001180;15;2.0;2;2;3;27419983982
7989306;14;2.0;2;1;3;47130906046
8014345;10;2.0;2;1;3;17029050736
7985753;17;2.0;2;1;3;54424036451
7982785;17;2.0;2;1;3;90407799582
7985832;10;2.0;2;1;3;45974209047
8022252;12;2.0;2;2;3;100575342
8085092;8;2.0;2;2;3;1839872963
8043134;12;2.0;2;2;6;67474510217
8005669;7;2.0;2;2;3;39177808123
8007959;15;2.0;2;1;3;16184050028
7994377;12;2.0;2;2;3;33991939639
8019887;15;2.0;2;2;3;1215587905
8013170;12;2.0;2;1;3;91882727926
7991717;11;2.0;2;2;3;76378651641
8032705;17;;2;1;1;65703457947
8014944;7;2.0;2;1;3;40232547502
7999887;16;2.0;2;2;3;56471306509
8052660;14;2.0;2;2;3;44957800339
8012022;11;2.0;2;1;3;17114311515
8020484;5;2.0;2;2;3;72560887869
7993801;15;2.0;2;2;3;24031700969
8016855;5;2.0;2;1;3;34563489702
8007336;14;2.0;2;1;3;10229438667
8008534;9;2.0;2;2;3;45076356942
7987878;14;2.0;2;2;3;18001700798
8030640;6;2.0;2;1;6;91132411083
7982315;12;2.0;2;2;3;22829575294
8084221;15;2.0;2;2;3;42117919328
8008035;15;2.0;2;1;3;18532747485
8038073;11;2.0;2;1;3;2298045209
8036250;13;2.0;2;2;3;78153990909
8012342;10;2.0;2;1;3;96777670019
8036589;6;2.0;2;2;3;57373597914
8009026;15;2.0;2;1;3;14138537661
8025864;6;2.0;2;1;3;12172769748
8084602;13;2.0;2;2;3;63924680429
8028060;17;2.0;2;2;3;80121136566
7991789;11;2.0;2;1;3;10768043105
7986266;9;2.0;2;1;3;2591086844
7999544;14;2.0;2;1;3;10317994008
7989629;11;2.0;2;1;3;58511714845
8040941;13;2.0;2;1;3;13498018084
8005405;16;2.0;2;1;3;16047620421
7998376;10;2.0;2;1;3;48346971303
8084339;17;;2;2;1;12161674601
8026658;17;2.0;2;1;3;31824174966
8084969;5;2.0;2;1;4;29487711516
8029078;11;2.0;2;2;3;39220603406
8075737;14;2.0;2;2;3;26779538464
8004060;13;2.0;2;1;3;16167472199
8011151;11;2.0;2;1;3;71476231751
7986911;16;2.0;2;1;3;12503135377
7995152;7;2.0;2;1;3;3849134456
8017602;12;2.0;2;1;3;17697271989
8084251;10;2.0;2;2;3;57810854052
8080769;17;2.0;2;2;3;45196586115
8013223;15;2.0;2;2;3;10591902146
8054556;13;2.0;2;2;6;53118917545
7998530;5;2.0;2;2;3;20203182934
8028484;16;2.0;2;1;3;84393909486
8054393;13;2.0;2;2;3;5794345316
8038368;11;2.0;2;2;3;32301107155
8015455;14;2.0;2;1;3;30744075476
7997419;6;2.0;2;2;3;39331217457
8043751;14;2.0;2;2;6;1142269706
8052290;11;2.0;2;1;3;14994274777
7993455;17;2.0;2;2;3;86017060351
8022235;17;2.0;2;2;3;55787237332
7991835;15;2.0;2;1;3;35745620103
8000461;8;2.0;2;2;3;14517290057
8045778;16;2.0;2;1;3;30488838047
8001254;12;2.0;2;2;3;40893501118
8007653;11;2.0;2;1;3;78397155971
8017408;6;2.0;2;1;3;15565461012
8010834;5;2.0;2;2;3;15705833959
8047779;5;2.0;2;2;6;25223925316
8023031;16;2.0;2;1;3;29085733081
8038935;10;2.0;2;2;3;14047492217
7991048;10;2.0;2;1;3;18479238483
8080391;13;2.0;2;2;3;45486294145
8015628;13;2.0;2;1;3;22532296264
8050557;14;2.0;2;2;3;18949762086
8043507;11;2.0;2;1;3;21642590231
8042278;7;2.0;2;1;3;13176703388
8004346;15;2.0;2;1;3;38419837179
7982380;10;2.0;2;1;3;23002957112
8039121;13;2.0;2;1;3;16303834227
8008333;9;2.0;2;2;3;12194178217
8053713;7;2.0;2;1;3;40080259831
8031991;13;2.0;2;2;6;21419989483
7991326;15;2.0;2;2;3;14006676549
8016701;16;2.0;2;2;3;86625709305
8045797;6;2.0;2;2;4;38483372377
7999040;11;2.0;2;2;3;39680253066
8081691;16;2.0;2;2;4;25188164339
8049746;12;2.0;2;1;3;24762048453
7990645;11;2.0;2;2;3;4265658236
8032751;17;2.0;2;1;3;56977328209
8010411;10;2.0;2;1;3;44578585184
8046117;11;2.0;2;1;3;14573179403
7997549;15;2.0;2;1;3;36537320802
8076198;9;2.0;2;1;3;29839844259
8002255;15;2.0;2;2;3;46220153469
8053633;12;2.0;2;1;3;11098924763
8046498;15;2.0;2;1;3;36534892038
8076637;13;;2;1;3;10299705052
8077160;5;2.0;2;1;3;96355225578
7984199;15;2.0;2;2;3;12425991547
8042128;6;2.0;2;2;3;76884850229
8035450;17;2.0;2;2;3;52268480661
8020195;5;2.0;2;2;3;36227825259
8005334;16;2.0;2;2;6;103764627
7983292;9;2.0;2;2;4;3898886099
7981629;7;2.0;2;1;3;29819210564
8038286;7;2.0;2;2;3;125985884
8076555;7;2.0;2;1;3;1555095065
8045302;10;2.0;2;2;3;22569774671
8014584;11;2.0;2;1;3;55884955238
8081036;15;2.0;2;2;3;44102937251
8040739;16;;2;1;1;88593089976
8045482;7;2.0;2;2;3;38827169458
8012863;10;2.0;2;1;3;19917634785
8014557;14;2.0;2;2;3;38896768933
8014348;8;2.0;2;1;3;13393891523
8028212;11;2.0;2;1;3;1103607046
7983775;16;2.0;2;1;6;14254559749
7987282;11;2.0;2;2;3;16317159175
8085026;12;2.0;2;2;4;18978246523
8076510;12;2.0;2;2;3;54635803067
8031934;9;2.0;2;2;3;75188584719
7984992;12;2.0;2;2;3;12176365803
7982028;13;2.0;2;1;3;3705777866
8010717;17;2.0;2;2;3;32180925317
8006823;7;2.0;2;1;3;22661007332
8075594;11;2.0;2;1;3;1307692959
8031639;9;2.0;2;2;3;24176284283
7992473;15;2.0;2;2;3;4995057712
8005661;5;2.0;2;2;3;1758343386
7982395;7;2.0;2;2;3;10854242013
8028447;10;2.0;2;2;3;62282863984
7986128;9;2.0;2;1;3;66676143144
